,아이가 좋아하는 동요모음. 2시간 20분.mp3,신나는 동요 피아노 연주곡 모음1_지치고 우울할 때.mp3,자장가(lullaby) 브람스( Brahms)아기수면음악 ♫오르골 (Orgel) ♫ 수면음악♫공부음악♫SleepingMusic♫Lullabies  For Babies.mp3,우리 아이가 좋아하는 NCS 노래 모음.mp3,🐮동요연속듣기🐴 인기동요모음 | 120분 연속재생 | 동물동요 | 광고없는 | 똑똑키즈 | 유치원동요 | 어린이동요ㅣ율동동요ㅣEducational Songs for Children.mp3,내가 먼저야 💢 | 생활습관 편 | 27분 동요모음 | 키키묘묘 | 어린이의 바른생활 | 교육동요 모음집 | 안전교육 | 노래 | 베이비버스 인기동요 동화 | BabyBus.mp3,Rock-a-bye Baby lullaby 💤 Bedtimes songs and nursery rhymes - HeyKids.mp3,#섬집아기 🎵 동요 자장가 | 10시간 | 피아노 + 오르골 + 풀벌레 소리 | 화면 꺼짐.mp3,Lullaby for Baby Fall Asleep in 3 Minutes ♫♫ Soothing Bedtime Lullabies For Baby Growth ♫ Good Night.mp3,"Brahms Lullaby for Babies, Hours of Soft Music.mp3",자장가 | 뽀로로 타요 자장가 1시간 이어듣기 | 우리 아이 꿀잠자는 수면 음악.mp3,🍎동요연속듣기🍌 인기동요 모음 | 120분 연속재생 | 동물동요 | 광고없는 | 똑똑키즈 | 유치원동요 | 어린이동요ㅣEducational Songs for Children.mp3,아기를 위한 모차르트 - 지능의 자극 - 자장가 #57.mp3,"[2018 웃는아이TV] ""전주공연making"" 무대뒤 ""초 리얼""한 모습!! 보시죠~!!.mp3","🍋주의력 결핍,과잉 행동 장애를 진정시키는 주파수 힐링 음악ㅣ주의력 향상ㅣ스트레스 감소ㅣ정확성 향상ㅣFrequency healing music for ADD .mp3",첫곡부터 가슴 적시는 동화감성 명곡 클래식 피아노 모음 | 모두의 클래식 | 남녀노소 | 스토리 클래식 | 선한영향력.mp3,Baby Fall Asleep In 3 Minutes With Soothing Lullabies 🎵 3 Hour Baby Sleep Music #104.mp3,"[중간광고X] Hair Dryer 10hrs 드라이기소리, 10시간, 아기재우기, 신생아 자장가 백색소음, 수면교육.mp3","Baby Sleep Music, Lullaby for Babies To Go To Sleep #067 Mozart for Babies Intelligence Stimulation.mp3",아기를 위한 모차르트  지능의 자극  자장가 #178.mp3,힐링 동요 피아노 연주음악 모음 1 I 감미로운 감성 피아노 연주곡.mp3,자장가연속듣기▶동요자장가 - 어린이 자장가 어린이집에서 틀어주는 EQ발달 기능성자장가 베스트 모음집.mp3,✨ BEST 마더구스 인기 영어동요 모음 🎵 | 1시간+ 연속재생 | Itsy Bitsy Spider외 25곡 | 어린이를 위한 Nursery Rhymes 모음집 | 드래곤디 동요.mp3,"3시간 잔잔한 수면음악 + 풀벌레소리 🎵 스트레스 해소음악, 잠잘때 듣는 음악, 불면증치료음악, 수면유도음악 (My Dream).mp3",12h Baby sleep white noise 🌙 Shh Next step ASMR 🎧 Rain sound + Silent music.mp3,[200만뷰] 우리 아이 🧑‍🎓 두뇌발달에 좋은 모차르트 음악들 ｜두뇌발달｜감성발달｜어린이집｜신나는 클래식｜아기 감성지수 높이기｜아이 클래식.mp3,[자장가클래식모음 1시간연속] 피아노 자장가 슈베르트 모짜르트 자장가 풀벌레소리 바람소리 ♬숙면유도♬수면음악 연속듣기 ♫ 자장가노래 ♫ 수면유도음악.mp3,"몸의 긴장을 풀어주는 힐링음악 + 물소리 🎵 마사지음악, 스파음악, 휴식음악, 수면유도음악.mp3",🍅동요연속듣기🍅 최신!!인기동요 모음 | 120분 연속재생 | 동물동요 | 광고없는 | 똑똑키즈 | 유치원동요 | 어린이동요ㅣEducational Songs for Children.mp3,"엄마 육퇴하게 해주는 베스트 아기동요 모음집 80분 ♪ | 산토끼, 악어떼 + 율동동요 묶음 | 인기동요 연속듣기 ★ 지니키즈.mp3",Baby Sleep Music ♫ Overcome Insomnia ♥ Mozart Brahms Lullaby - Sleep Instantly Within 3 Minutes.mp3,ASMR Sleep Like a Baby! 100+ Triggers Collection For Sleep (ASMR No Talking).mp3,아이가 좋아하는 영어동요. 광고없는 1시간 20분.mp3,🧠💤 최상의 숙면을 경험하세요. 깸 없는 깊은 잠을 돕는 수면단계별 뇌파 동조화 수면 사운드 - 90분 수면사이클 버전 & 기상알람 2회 (연구 논문 기반).mp3,신생아 음악은 지능을 향상시킵니다 ♫♫♫ Top 2022 신생아 음악 - 아기자장가.mp3,⚡동요연속듣기⚡ 유치원 인기 동요 | 아이들 시간순삭😋 | 1시간 연속재생 | 똑똑한 엄마들이 선택한 동요 베스트.mp3,"[섬집아기] 3시간 연속재생, 마음이 따뜻해지는 피아노 자장가 음악, 중간광고 x.mp3","The Aviary Village, Step 2 - Sky: Children of The Light ASMR.mp3",Baby Sensory Caterpillar's Garden. High Contrast Eye Tracking for Babies.mp3,[12시간] 쉬소리 + 빗소리 asmr | 아기 수면교육 | 청력 보호 백색소음 | 여행 영상 | 중간광고 없음.mp3,"5분만에 꿈나라 직행│쉬~소리+빗소리+물소리│수면교육 백색소음 │10시간 연속재생, 광고없음│whitenoise, shhh~.mp3",😍엄마와함께듣는 유치원 인기동요💖인기동요모음😍광고없는😍유치원동요💗어린이동요🎵송송키즈🙂동요연속듣기😍율동동요😍90분연속재생😍.mp3,"신생아재우기 - 울던 아이도 뚝 그치는! 쉬~소리+심장소리+물소리 10시간!, 5분뒤 화면꺼짐, 엄마뱃속 소리 재현! 신생아 안정, 백색소음, 수면음악, 수면발달유도.mp3",자장가 브람스 아기수면음악 ♫ 자장가 오르골 어린이 ♫ 수면음악 연속듣기 ♫ 아기자장가노래 ♫ 유아자장가 수면유도음악.mp3,"""버릇없는 우리 아이가 달라졌어요!"" 어사 박문수 등 2편🌛중간광고 없는 옛날이야기 1시간 연속 .mp3",Upbeat Kids Songs | Children's Song Collection | The Singing Walrus.mp3,브람스 느린 피아노+빗소리 자장가 4시간(Brahms Slow Lullaby Piano+Rain Sound 4hr Play_Dark screen after 30minutes).mp3,🥰 아이가 좋아하는 태교음악 🤰 .mp3,유아동요 모음 어린이동요 연속듣기 [큐리동요모음].mp3,🍅동요연속듣기🥦 최신! 인기동요 모음 | 120분 연속재생 | 동물동요 | 광고없는 | 똑똑키즈 | 유치원동요 | 어린이동요ㅣEducational Songs for Children.mp3,Hearing protection White Noise 🌙 Rain Piano ASMR | Newborn Baby Parents.mp3,TWO HOURS of gentle lullabies for babies - Baby Sleep Music.mp3,"baby sleep music ♥ With Waterfall sounds, Nature sounds - Mozart Effect for Babies.mp3",Soothing Cartoons and Bedtime Songs for Kids : Dreamy Lullabies with Beadies LIVE.mp3,시끄럽지 않은 진공청소기 소리🎧 · 아기 수면교육 [4시간] 백색소음 I Vacuum cleaner ASMR.mp3,(가사있는) 초등 교과서 수록 인기 동요 3.mp3,[Original] 신생아 자장가 엄마뱃속 소리 + 쉬~소리 백색소음 (10시간) | 자궁소리 ASMR과 그림영상.mp3
자장가 | 뽀로로 타요 자장가 1시간 이어듣기 | 우리 아이 꿀잠자는 수면 음악.mp3,0.85188615,0.99343,0.9915999,0.9556605,0.9808025,0.9963227,0.9910431,0.950438,0.9933658,0.9887788,0.99999994,0.9749766,0.9815396,0.85917974,0.9788228,0.9946308,0.99529886,0.8507458,0.9933658,0.9815396,0.98719925,0.98547214,0.95098025,0.9847548,0.98304266,0.9943572,0.9904179,0.9922937,0.9529243,0.97647256,0.98760957,0.9395761,0.9858178,0.9718031,0.9816987,0.9837129,0.9904034,0.9944484,0.9506753,0.9454699,0.9708168,0.9562377,0.91295457,0.9759161,0.9699741,0.96348447,0.9862634,0.98368883,0.9415692,0.9381696,0.98606706,0.98791206,0.99061084,0.99639904,0.9307697,0.98535043,0.9394658
🍎동요연속듣기🍌 인기동요 모음 | 120분 연속재생 | 동물동요 | 광고없는 | 똑똑키즈 | 유치원동요 | 어린이동요ㅣEducational Songs for Children.mp3,0.9052275,0.9653695,0.95821285,0.98268,0.9989247,0.98478854,0.98464996,0.92451,0.9673031,0.9565986,0.9749766,0.9999999,0.9371095,0.8877529,0.955288,0.96893704,0.98101133,0.7867581,0.9673031,0.9371095,0.96054626,0.9613143,0.9792305,0.9553813,0.96266466,0.9664672,0.9681936,0.9615845,0.98007023,0.9937083,0.9403028,0.9030973,0.99332935,0.9627849,0.9509438,0.9946406,0.9613852,0.96833867,0.9762431,0.91708064,0.96698356,0.9827599,0.9476148,0.9496477,0.9357454,0.9937732,0.97794,0.94583243,0.98277134,0.97592664,0.9638734,0.96466213,0.95344996,0.9739077,0.88008004,0.98776966,0.9564891
아기를 위한 모차르트 - 지능의 자극 - 자장가 #57.mp3,0.753858,0.97789335,0.98709154,0.89657784,0.9411902,0.9738292,0.96434945,0.94355625,0.9782749,0.9874614,0.9815396,0.9371095,0.99999976,0.7659385,0.94790375,0.9782975,0.96883434,0.8047418,0.9782749,0.99999976,0.96008176,0.9573906,0.8901072,0.9873285,0.98930794,0.9813457,0.987119,0.9925704,0.8966085,0.93480575,0.9853015,0.97960794,0.951558,0.9760686,0.98804265,0.943539,0.9715598,0.9917992,0.9041025,0.9738023,0.948965,0.8957196,0.8488975,0.98375815,0.992253,0.9253547,0.9604857,0.97426313,0.87640613,0.8777332,0.9905188,0.963429,0.9828558,0.97877496,0.91797364,0.95905715,0.8937671
"[2018 웃는아이TV] ""전주공연making"" 무대뒤 ""초 리얼""한 모습!! 보시죠~!!.mp3",0.9857346,0.85126734,0.8232083,0.95042545,0.90025467,0.8804631,0.8845013,0.77361435,0.8472431,0.8031798,0.85917974,0.8877529,0.7659385,1.0,0.8774011,0.8583039,0.8834687,0.8714291,0.8472431,0.7659385,0.8785565,0.87898576,0.9491018,0.7928467,0.79615784,0.8511834,0.83248997,0.807858,0.9226927,0.922481,0.8165961,0.6546252,0.904911,0.76483816,0.79167104,0.9031036,0.8600939,0.8215297,0.90285337,0.7240181,0.8693666,0.93148065,0.9511964,0.76661307,0.72302204,0.8886009,0.8630388,0.82153994,0.9379686,0.9239349,0.80327386,0.86931646,0.8501846,0.8558609,0.81949306,0.86995375,0.8985656
"🍋주의력 결핍,과잉 행동 장애를 진정시키는 주파수 힐링 음악ㅣ주의력 향상ㅣ스트레스 감소ㅣ정확성 향상ㅣFrequency healing music for ADD .mp3",0.86619335,0.9909733,0.9703292,0.95859283,0.9610634,0.9742109,0.98566115,0.8941569,0.9916199,0.9799645,0.9788228,0.955288,0.94790375,0.8774011,0.99999994,0.98272026,0.98296994,0.8394467,0.9916199,0.94790375,0.9974223,0.9978962,0.9624521,0.97176486,0.9356986,0.98219824,0.964954,0.96835625,0.96683615,0.961296,0.97948647,0.89220035,0.9763754,0.95412916,0.96032065,0.97720575,0.99283886,0.97018605,0.9735765,0.88819766,0.9326279,0.9652028,0.93369806,0.94886404,0.9292596,0.95278406,0.9791106,0.9900871,0.94113356,0.95773256,0.9411397,0.99773437,0.9552707,0.9846746,0.88426787,0.98218906,0.9700954
첫곡부터 가슴 적시는 동화감성 명곡 클래식 피아노 모음 | 모두의 클래식 | 남녀노소 | 스토리 클래식 | 선한영향력.mp3,0.85253483,0.99659556,0.99011356,0.9558414,0.9743953,0.98979294,0.989771,0.9240769,0.9934228,0.9892068,0.9946308,0.96893704,0.9782975,0.8583039,0.98272026,1.0,0.9958275,0.85779995,0.9934228,0.9782975,0.99113756,0.9913747,0.94929147,0.98440784,0.9744978,0.99782014,0.9813283,0.9882824,0.9481882,0.96932477,0.99098456,0.9317591,0.9812515,0.96816516,0.98679763,0.97878724,0.99497354,0.99385196,0.95255786,0.9365507,0.96737427,0.9513358,0.9252758,0.9671749,0.96521413,0.9576655,0.98291713,0.9822574,0.9356612,0.9357179,0.9775541,0.992053,0.98601294,0.99579275,0.9333741,0.9842257,0.94039774
Baby Fall Asleep In 3 Minutes With Soothing Lullabies 🎵 3 Hour Baby Sleep Music #104.mp3,0.8829355,0.9936134,0.9889417,0.9727204,0.9860199,0.99467593,0.99483526,0.9227169,0.9921923,0.9828575,0.99529886,0.98101133,0.96883434,0.8834687,0.98296994,0.9958275,1.0000001,0.85730934,0.9921923,0.96883434,0.9916471,0.990418,0.9670998,0.9808429,0.97230005,0.99436337,0.9810228,0.9845527,0.9657363,0.9832601,0.98087984,0.9186174,0.99070734,0.9666733,0.9756844,0.98891586,0.9923952,0.98927915,0.9641444,0.9287458,0.9699233,0.9685565,0.94148386,0.96106035,0.95540357,0.97243905,0.987929,0.97758055,0.9559618,0.9545335,0.97559106,0.9914433,0.98541033,0.99510735,0.9279991,0.988463,0.9515045
"[중간광고X] Hair Dryer 10hrs 드라이기소리, 10시간, 아기재우기, 신생아 자장가 백색소음, 수면교육.mp3",0.8090152,0.84858733,0.84986717,0.8350872,0.81114906,0.8506003,0.8300363,0.7803927,0.8320738,0.8091562,0.8507458,0.7867581,0.8047418,0.8714291,0.8394467,0.85779995,0.85730934,0.9999998,0.8320738,0.8047418,0.8580007,0.85625017,0.8138155,0.80090725,0.80518246,0.86192214,0.82067454,0.8132105,0.7771116,0.82469827,0.8450604,0.6961473,0.8235834,0.72771204,0.8193516,0.8106463,0.85830057,0.82934767,0.77166337,0.771097,0.85655826,0.79652137,0.8225798,0.7720222,0.75526613,0.7620487,0.7938741,0.8151609,0.7834491,0.75902224,0.8117442,0.8432234,0.876423,0.8384331,0.92286414,0.79625994,0.7724293
"Baby Sleep Music, Lullaby for Babies To Go To Sleep #067 Mozart for Babies Intelligence Stimulation.mp3",0.8402129,0.9984878,0.99096906,0.95220536,0.97133577,0.9885507,0.9925317,0.92549956,1.0000001,0.99528664,0.9933658,0.9673031,0.9782749,0.8472431,0.9916199,0.9934228,0.9921923,0.8320738,1.0000001,0.9782749,0.9949511,0.9942661,0.9512612,0.99056906,0.97122914,0.9946526,0.98615545,0.99058264,0.95683485,0.96779376,0.9896358,0.93838763,0.9827776,0.97905356,0.98155296,0.9809656,0.9967133,0.99185276,0.9626852,0.9361885,0.95775354,0.95574087,0.9181512,0.97548026,0.96708506,0.96146613,0.9865079,0.9946547,0.9353549,0.9444641,0.97474706,0.99683404,0.97708106,0.9964774,0.9114785,0.9888852,0.9574245
아기를 위한 모차르트  지능의 자극  자장가 #178.mp3,0.753858,0.97789335,0.98709154,0.89657784,0.9411902,0.9738292,0.96434945,0.94355625,0.9782749,0.9874614,0.9815396,0.9371095,0.99999976,0.7659385,0.94790375,0.9782975,0.96883434,0.8047418,0.9782749,0.99999976,0.96008176,0.9573906,0.8901072,0.9873285,0.98930794,0.9813457,0.987119,0.9925704,0.8966085,0.93480575,0.9853015,0.97960794,0.951558,0.9760686,0.98804265,0.943539,0.9715598,0.9917992,0.9041025,0.9738023,0.948965,0.8957196,0.8488975,0.98375815,0.992253,0.9253547,0.9604857,0.97426313,0.87640613,0.8777332,0.9905188,0.963429,0.9828558,0.97877496,0.91797364,0.95905715,0.8937671
힐링 동요 피아노 연주음악 모음 1 I 감미로운 감성 피아노 연주곡.mp3,0.8680519,0.99573225,0.9813059,0.96201766,0.9670551,0.98257756,0.99041015,0.9035249,0.9949511,0.98421526,0.98719925,0.96054626,0.96008176,0.8785565,0.9974223,0.99113756,0.9916471,0.8580007,0.9949511,0.96008176,1.0,0.99903494,0.96170074,0.9790211,0.9498066,0.9904959,0.97229713,0.97750324,0.9635288,0.96675193,0.98577976,0.90353096,0.9804167,0.95845866,0.9692261,0.97968125,0.99694574,0.9796033,0.96781534,0.9041286,0.9458011,0.96371967,0.9347083,0.95410323,0.94152874,0.95616764,0.983417,0.990047,0.9417716,0.952481,0.9548238,0.9991703,0.97128683,0.9914066,0.9088185,0.98422605,0.9622874
자장가연속듣기▶동요자장가 - 어린이 자장가 어린이집에서 틀어주는 EQ발달 기능성자장가 베스트 모음집.mp3,0.8692002,0.99588853,0.979462,0.9620357,0.9673789,0.9810383,0.9887117,0.8996637,0.9942661,0.98439586,0.98547214,0.9613143,0.9573906,0.87898576,0.9978962,0.9913747,0.990418,0.85625017,0.9942661,0.9573906,0.99903494,1.0,0.9617587,0.9772479,0.9477262,0.9909267,0.97023964,0.97438556,0.9625537,0.96588993,0.98541844,0.90188134,0.97961,0.957315,0.97120994,0.97935206,0.9976517,0.9795342,0.9696103,0.9021015,0.9457951,0.9628853,0.93869233,0.95498806,0.93918973,0.9546405,0.9799033,0.98826456,0.94122344,0.95305175,0.9524186,0.9992733,0.96673954,0.9896751,0.9044752,0.98396957,0.96192443
✨ BEST 마더구스 인기 영어동요 모음 🎵 | 1시간+ 연속재생 | Itsy Bitsy Spider외 25곡 | 어린이를 위한 Nursery Rhymes 모음집 | 드래곤디 동요.mp3,0.9574855,0.94930494,0.927555,0.9973196,0.98191154,0.9645992,0.9760828,0.87036484,0.9512612,0.92579377,0.95098025,0.9792305,0.8901072,0.9491018,0.9624521,0.94929147,0.9670998,0.8138155,0.9512612,0.8901072,0.96170074,0.9617587,0.9999999,0.92179215,0.9106964,0.9439783,0.9372451,0.9268425,0.99574375,0.988756,0.9175768,0.82550293,0.9854571,0.9185604,0.9095846,0.9876889,0.95045435,0.9317742,0.98870087,0.85102016,0.93722916,0.9966262,0.97976,0.89927906,0.873533,0.98396844,0.9669769,0.9333466,0.9944038,0.9950552,0.9152246,0.9611086,0.9272674,0.95531905,0.8541617,0.97478294,0.97980607
"3시간 잔잔한 수면음악 + 풀벌레소리 🎵 스트레스 해소음악, 잠잘때 듣는 음악, 불면증치료음악, 수면유도음악 (My Dream).mp3",0.78738874,0.9908519,0.9925666,0.92451423,0.95720786,0.9804926,0.9803401,0.9259872,0.99056906,0.9966526,0.9847548,0.9553813,0.9873285,0.7928467,0.97176486,0.98440784,0.9808429,0.80090725,0.99056906,0.9873285,0.9790211,0.9772479,0.92179215,1.0,0.9785792,0.9887782,0.98737776,0.9935762,0.9308217,0.9489236,0.98537534,0.96676344,0.9665854,0.98885876,0.9905543,0.9631918,0.9863474,0.99234116,0.94310874,0.9546836,0.94105524,0.9281499,0.88391644,0.9830998,0.98468393,0.9485551,0.9732986,0.9877693,0.90624094,0.9169623,0.9803405,0.9827743,0.9721585,0.98747444,0.89417106,0.9790913,0.9302154
12h Baby sleep white noise 🌙 Shh Next step ASMR 🎧 Rain sound + Silent music.mp3,0.79232216,0.9703207,0.98378676,0.92034584,0.96461344,0.98393464,0.9699541,0.9602154,0.97122914,0.97731495,0.98304266,0.96266466,0.98930794,0.79615784,0.9356986,0.9744978,0.97230005,0.80518246,0.97122914,0.98930794,0.9498066,0.9477262,0.9106964,0.9785792,1.0000001,0.97741586,0.9910011,0.9888258,0.9130852,0.9575776,0.9660242,0.97389114,0.96609586,0.9767937,0.98148775,0.9586475,0.9621831,0.99079573,0.9151909,0.9860116,0.97450703,0.91519535,0.87063307,0.98209125,0.98857045,0.9501969,0.96177995,0.95772266,0.9079552,0.8969966,0.9997696,0.95398283,0.98266894,0.9779965,0.9260211,0.9665366,0.9024281
[200만뷰] 우리 아이 🧑‍🎓 두뇌발달에 좋은 모차르트 음악들 ｜두뇌발달｜감성발달｜어린이집｜신나는 클래식｜아기 감성지수 높이기｜아이 클래식.mp3,0.84220105,0.99777114,0.99450177,0.95117664,0.9718653,0.9905065,0.9877773,0.9267105,0.9946526,0.99216723,0.9943572,0.9664672,0.9813457,0.8511834,0.98219824,0.99782014,0.99436337,0.86192214,0.9946526,0.9813457,0.9904959,0.9909267,0.9439783,0.9887782,0.97741586,0.99999994,0.985212,0.98832387,0.9423993,0.96637124,0.99152756,0.93891245,0.9788398,0.96985674,0.9900828,0.9752904,0.996975,0.9959496,0.95055,0.9439098,0.9670145,0.9453256,0.9198613,0.9758814,0.9686239,0.9529935,0.9757915,0.9836672,0.92774457,0.930183,0.97995126,0.99190646,0.98528934,0.9939206,0.9339815,0.98211545,0.93710876
[자장가클래식모음 1시간연속] 피아노 자장가 슈베르트 모짜르트 자장가 풀벌레소리 바람소리 ♬숙면유도♬수면음악 연속듣기 ♫ 자장가노래 ♫ 수면유도음악.mp3,0.81939,0.9844135,0.98740584,0.9397432,0.9718117,0.9926479,0.9848398,0.95859337,0.98615545,0.98784566,0.9904179,0.9681936,0.987119,0.83248997,0.964954,0.9813283,0.9810228,0.82067454,0.98615545,0.987119,0.97229713,0.97023964,0.9372451,0.98737776,0.9910011,0.985212,1.0000001,0.9927804,0.9411588,0.9701425,0.9785359,0.96163213,0.98000354,0.9795846,0.9838152,0.97395724,0.97896945,0.99227166,0.94588774,0.97029066,0.96590537,0.94040215,0.8942895,0.9861109,0.97956467,0.9615267,0.974817,0.9807011,0.92710835,0.92680186,0.992599,0.9754377,0.9826774,0.98782337,0.9100579,0.9820442,0.93732643
"몸의 긴장을 풀어주는 힐링음악 + 물소리 🎵 마사지음악, 스파음악, 휴식음악, 수면유도음악.mp3",0.80005556,0.98918945,0.99243045,0.93046284,0.9648592,0.9877751,0.9844057,0.9490336,0.99058264,0.9933744,0.9922937,0.9615845,0.9925704,0.807858,0.96835625,0.9882824,0.9845527,0.8132105,0.99058264,0.9925704,0.97750324,0.97438556,0.9268425,0.9935762,0.9888258,0.98832387,0.9927804,1.0000001,0.9350296,0.9593575,0.9864234,0.96679777,0.9742355,0.98706824,0.98729193,0.9694892,0.98238754,0.9949342,0.938315,0.9650095,0.9594147,0.9346265,0.88236475,0.9796796,0.98777103,0.95575434,0.9830349,0.98677075,0.91762936,0.9181447,0.99109083,0.97990805,0.9857141,0.9927909,0.91567177,0.980425,0.9314632
🍅동요연속듣기🍅 최신!!인기동요 모음 | 120분 연속재생 | 동물동요 | 광고없는 | 똑똑키즈 | 유치원동요 | 어린이동요ㅣEducational Songs for Children.mp3,0.9349925,0.9518168,0.928931,0.98900926,0.9807584,0.9635231,0.97813225,0.87928754,0.95683485,0.93429965,0.9529243,0.98007023,0.8966085,0.9226927,0.96683615,0.9481882,0.9657363,0.7771116,0.95683485,0.8966085,0.9635288,0.9625537,0.99574375,0.9308217,0.9130852,0.9423993,0.9411588,0.9350296,0.99999994,0.9850557,0.9213858,0.84195477,0.98580194,0.93485445,0.911541,0.98971766,0.9509526,0.9341717,0.9924565,0.8532175,0.9271062,0.99808604,0.9627033,0.9078191,0.8852139,0.9879977,0.9762372,0.94451374,0.9922895,0.99814147,0.91776246,0.96438235,0.92328894,0.9587621,0.8337777,0.9800513,0.985095
"엄마 육퇴하게 해주는 베스트 아기동요 모음집 80분 ♪ | 산토끼, 악어떼 + 율동동요 묶음 | 인기동요 연속듣기 ★ 지니키즈.mp3",0.928134,0.96577346,0.9579845,0.99083346,0.9964297,0.98833466,0.9874655,0.9210627,0.96779376,0.95104325,0.97647256,0.9937083,0.93480575,0.922481,0.961296,0.96932477,0.9832601,0.82469827,0.96779376,0.93480575,0.96675193,0.96588993,0.988756,0.9489236,0.9575776,0.96637124,0.9701425,0.9593575,0.9850557,1.0000001,0.94272864,0.88421905,0.9969822,0.947918,0.94326764,0.995125,0.96339303,0.96405226,0.9771872,0.9108728,0.9690218,0.98742795,0.9598876,0.93837184,0.9218689,0.9912829,0.97896695,0.9482268,0.98686033,0.97926295,0.96032375,0.96749985,0.9628639,0.97435945,0.89284146,0.98462933,0.9645194
Baby Sleep Music ♫ Overcome Insomnia ♥ Mozart Brahms Lullaby - Sleep Instantly Within 3 Minutes.mp3,0.79897237,0.99240535,0.9855705,0.9205768,0.947724,0.97672063,0.9736999,0.9263684,0.9896358,0.9911882,0.98760957,0.9403028,0.9853015,0.8165961,0.97948647,0.99098456,0.98087984,0.8450604,0.9896358,0.9853015,0.98577976,0.98541844,0.9175768,0.98537534,0.9660242,0.99152756,0.9785359,0.9864234,0.9213858,0.94272864,0.99999994,0.9421101,0.96060807,0.9625171,0.9876856,0.9566502,0.99123096,0.988968,0.93052,0.93096316,0.9384506,0.92267305,0.88223934,0.972442,0.967439,0.9264569,0.9695734,0.9889602,0.89675707,0.9055503,0.96967006,0.9869913,0.98042256,0.9857724,0.913878,0.9676687,0.9175358
ASMR Sleep Like a Baby! 100+ Triggers Collection For Sleep (ASMR No Talking).mp3,0.6522377,0.9354267,0.9532105,0.8313474,0.9004067,0.93241787,0.92017144,0.9312853,0.93838763,0.9625132,0.9395761,0.9030973,0.97960794,0.6546252,0.89220035,0.9317591,0.9186174,0.6961473,0.93838763,0.97960794,0.90353096,0.90188134,0.82550293,0.96676344,0.97389114,0.93891245,0.96163213,0.96679777,0.84195477,0.88421905,0.9421101,0.99999976,0.9054256,0.9729895,0.9667231,0.8983831,0.9235903,0.9633223,0.8583644,0.9783884,0.90886813,0.83778274,0.7724275,0.9769353,0.99267244,0.8908252,0.91721904,0.9375439,0.8199511,0.8235577,0.9718417,0.91322756,0.9332107,0.9382117,0.85429734,0.9245718,0.8439376
아이가 좋아하는 영어동요. 광고없는 1시간 20분.mp3,0.9077303,0.9804995,0.9707601,0.98644483,0.99567384,0.9932643,0.9952995,0.92880535,0.9827776,0.9695756,0.9858178,0.99332935,0.951558,0.904911,0.9763754,0.9812515,0.99070734,0.8235834,0.9827776,0.951558,0.9804167,0.97961,0.9854571,0.9665854,0.96609586,0.9788398,0.98000354,0.9742355,0.98580194,0.9969822,0.96060807,0.9054256,1.0000001,0.9649404,0.95931715,0.99802846,0.97781396,0.97682875,0.982262,0.9223292,0.97040033,0.98662275,0.9527922,0.9536272,0.94011456,0.99135834,0.9886353,0.968181,0.9806392,0.97861534,0.96907717,0.9819039,0.9697027,0.9862987,0.8976337,0.99336004,0.9721163
🧠💤 최상의 숙면을 경험하세요. 깸 없는 깊은 잠을 돕는 수면단계별 뇌파 동조화 수면 사운드 - 90분 수면사이클 버전 & 기상알람 2회 (연구 논문 기반).mp3,0.7751112,0.9740542,0.9758987,0.91850585,0.95896274,0.9702413,0.97385037,0.9258811,0.97905356,0.9860574,0.9718031,0.9627849,0.9760686,0.76483816,0.95412916,0.96816516,0.9666733,0.72771204,0.97905356,0.9760686,0.95845866,0.957315,0.9185604,0.98885876,0.9767937,0.96985674,0.9795846,0.98706824,0.93485445,0.947918,0.9625171,0.9729895,0.9649404,1.0000001,0.9760784,0.96338123,0.9652647,0.98205084,0.94529164,0.95671624,0.93846774,0.9296424,0.8728964,0.97839177,0.9851172,0.96135163,0.97403526,0.9743518,0.913973,0.9234788,0.9773193,0.9659874,0.9513331,0.97746295,0.8612282,0.9792359,0.93512547
신생아 음악은 지능을 향상시킵니다 ♫♫♫ Top 2022 신생아 음악 - 아기자장가.mp3,0.781691,0.9865518,0.98690015,0.9169411,0.9538715,0.97756875,0.9703573,0.93118745,0.98155296,0.9914424,0.9816987,0.9509438,0.98804265,0.79167104,0.96032065,0.98679763,0.9756844,0.8193516,0.98155296,0.98804265,0.9692261,0.97120994,0.9095846,0.9905543,0.98148775,0.9900828,0.9838152,0.98729193,0.911541,0.94326764,0.9876856,0.9667231,0.95931715,0.9760784,1.0000001,0.95430505,0.9825341,0.99402934,0.9292532,0.9605457,0.9491839,0.9131579,0.88024086,0.9836635,0.98326975,0.93462,0.9584025,0.9750067,0.8946669,0.89896125,0.98209715,0.9743764,0.9733331,0.98081654,0.90746695,0.96981335,0.90833616
